processed_at,alert_id,headline,source,status,tool_decision,candidate_suppliers,final_status,supplier,risk_type,risk_level,change_type,change_message,impact,recommended_action,relevant_supplier_context
2026-04-06T00:47:17,rss-1,"Foxconn first-quarter revenue jumps, company cautions on geopolitics - Reuters",google_news_rss,new,retrieve,Foxconn,ok,Foxconn,geopolitics,High,new_alert,New disruption detected for Foxconn (geopolitics) at High risk.,Geopolitical tensions could disrupt operations and supply chains.,Monitor geopolitical developments closely and assess their potential impact on operations.,"Foxconn is a global electronics manufacturing services company with large operations in China, Vietnam, and India. Key risks include labor unrest, regulatory shifts, geopolitical tensions, manufacturing disruption, and logistics delays."
2026-04-06T00:48:51,rss-1,"Foxconn first-quarter revenue jumps, company cautions on geopolitics - Reuters",google_news_rss,new,retrieve,Foxconn,ok,Foxconn,geopolitical_tension,High,new_alert,New disruption detected for Foxconn (geopolitical_tension) at High risk.,Geopolitical tensions may lead to regulatory shifts and manufacturing disruptions affecting Foxconn's operations.,Monitor geopolitical developments closely and assess their potential impact on supply chain operations.,"Foxconn is a global electronics manufacturing services company with large operations in China, Vietnam, and India. Key risks include labor unrest, regulatory shifts, geopolitical tensions, manufacturing disruption, and logistics delays."
2026-04-06T00:49:57,rss-2,AI Infrastructure Leaders: Nvidia and TSMC Market Dominance - News and Statistics - IndexBox,google_news_rss,new,retrieve,TSMC,ok,TSMC,earthquake,High,new_alert,New disruption detected for TSMC (earthquake) at High risk.,"TSMC's heavy manufacturing concentration in Taiwan makes it vulnerable to earthquakes, which can disrupt production and supply chains.",Implement disaster recovery plans and diversify supply chain sources to mitigate risks associated with earthquakes.,"TSMC is a Taiwan-based semiconductor foundry with heavy manufacturing concentration in Taiwan. Key risks include earthquakes, drought, water shortages, power outages, export controls, and geopolitical tension affecting semiconductor supply."
2026-04-06T00:56:57,rss-1,"Foxconn first-quarter revenue jumps, company cautions on geopolitics - Reuters",google_news_rss,new,retrieve,Foxconn,ok,Foxconn,geopolitical_tension,High,suppressed,Same supplier and risk level as prior alert for Foxconn (geopolitical_tension); suppressing duplicate.,"Geopolitical tensions could disrupt Foxconn's operations, particularly in China and Vietnam, affecting supply chain stability.",Monitor geopolitical developments closely and assess potential impacts on operations and logistics.,"Foxconn is a global electronics manufacturing services company with large operations in China, Vietnam, and India. Key risks include labor unrest, regulatory shifts, geopolitical tensions, manufacturing disruption, and logistics delays."
2026-04-06T05:43:58,rss-9,"Nvidia And Apple Supplier Foxconn Reports Revenue Surge Of Nearly 30% Thanks To AI Boom, Warns Of Global - Benzinga",google_news_rss,new,retrieve,Foxconn,ok,Foxconn,strike,High,new_alert,New disruption detected for Foxconn (strike) at High risk.,"Labor unrest could disrupt manufacturing operations, impacting supply chain stability.",Monitor labor relations and potential unrest in key manufacturing regions.,"Foxconn is a global electronics manufacturing services company with large operations in China, Vietnam, and India. Key risks include labor unrest, regulatory shifts, geopolitical tensions, manufacturing disruption, and logistics delays."
2026-04-06T05:54:33,test-1,Murata earthquake disruption TEST_ESCALATE_MEDIUM,manual,new,retrieve,Murata,ok,Murata,earthquake,Medium,new_alert,New disruption detected for Murata (earthquake) at Medium risk.,Potential factory disruptions and supply chain delays due to the earthquake in Japan.,Assess alternative suppliers and increase inventory levels to mitigate potential disruptions.,"Murata is a major supplier of passive electronic components such as capacitors and sensors. Key risks include factory disruptions, natural disasters in Japan, raw material shortages, and capacity constraints affecting electronics supply chains."
2026-04-06T05:56:45,test-2,Murata earthquake disruption TEST_ESCALATE_HIGH,manual,new,retrieve,Murata,ok,Murata,earthquake,High,escalated,Risk escalation detected for Murata: Medium → High (earthquake).,Potential disruptions in the supply of passive electronic components due to factory damage or operational halts.,Assess alternative suppliers and increase inventory levels to mitigate potential shortages.,"Murata is a major supplier of passive electronic components such as capacitors and sensors. Key risks include factory disruptions, natural disasters in Japan, raw material shortages, and capacity constraints affecting electronics supply chains."
2026-04-06T05:56:45,rss-10,Foxconn's 30% AI Surge Shifts to NVIDIA - 조선일보,google_news_rss,new,retrieve,Foxconn,ok,Foxconn,geopolitical_tension,High,new_alert,New disruption detected for Foxconn (geopolitical_tension) at High risk.,"Foxconn's operations in China, Vietnam, and India may be affected by geopolitical tensions, leading to potential disruptions in manufacturing and logistics.",Monitor geopolitical developments closely and assess their potential impact on Foxconn's operations.,"Foxconn is a global electronics manufacturing services company with large operations in China, Vietnam, and India. Key risks include labor unrest, regulatory shifts, geopolitical tensions, manufacturing disruption, and logistics delays."
2026-04-06T21:10:26,rss-11,"Why TSMC grew four times faster than its foundry rivals in 2025 — price hikes, vertical integration, and commanding technology lead pay dividends - Tom's Hardware",google_news_rss,new,retrieve,TSMC,ok,TSMC,earthquake,High,new_alert,New disruption detected for TSMC (earthquake) at High risk.,"TSMC's heavy manufacturing concentration in Taiwan makes it vulnerable to earthquakes, which could disrupt production and supply chains.",Implement contingency plans and diversify supply chain to mitigate risks associated with earthquakes.,"TSMC is a Taiwan-based semiconductor foundry with heavy manufacturing concentration in Taiwan. Key risks include earthquakes, drought, water shortages, power outages, export controls, and geopolitical tension affecting semiconductor supply."
2026-04-06T21:10:26,rss-12,TSMC Is Set to Talk About the Biggest Risk It Faces with Chip Production Right Now; One That Could Derail the AI Frenzy - Wccftech,google_news_rss,new,retrieve,TSMC,ok,TSMC,earthquake,High,suppressed,Same supplier and risk level as prior alert for TSMC (earthquake); suppressing duplicate.,Potential disruptions in chip production due to seismic activity in Taiwan.,Implement robust disaster recovery and business continuity plans to mitigate earthquake risks.,"TSMC is a Taiwan-based semiconductor foundry with heavy manufacturing concentration in Taiwan. Key risks include earthquakes, drought, water shortages, power outages, export controls, and geopolitical tension affecting semiconductor supply."
