supplier,risk_type,current_risk_level,last_headline,last_seen_at
TSMC,intellectual_property_theft,High,More threats to Apple’s chipmaker through attempted theft of TSMC technology - 9to5Mac,2026-04-07T22:06:51+00:00
Foxconn,supply_chain_diversification,Low,Foxconn’s Pan-International invests €35.5M in Belgian axial flux motor maker Magnax - Charged EVs,2026-04-07T22:06:57+00:00
TSMC,market_competition,Medium,"Intel challenges TSMC CoWoS as Amazon, Google reportedly explore alternatives - digitimes",2026-04-07T22:07:14+00:00
TSMC,geopolitical_tension,High,TSMC 1Q26 Revenue Jumps 35% on AI Chip Demand - Mexico Business News,2026-04-10T22:00:05+00:00
TSMC,"geopolitical_tension,_export_controls",High,"Hello, Halo: Project surfs TSMC wave - The Foothills Focus",2026-04-09T03:20:55+00:00
TSMC,"geopolitical_tension,_export_controls,_natural_disaster,_resource_scarcity",High,"AI Hardware Stocks Undervalued: Investment Opportunity in Nvidia, Broadcom, TSMC | 2026 - News and Statistics - IndexBox",2026-04-09T03:21:00+00:00
TSMC,supply_concentration,High,"Nvidia Locks Up TSMC's Packaging, Creating AI's Next Chokepoint - The Tech Buzz",2026-04-09T03:21:13+00:00
TSMC,"geopolitical_tension,_export_controls,_natural_disaster",High,Why global chipmakers want to join TSMC's certified supply chain - digitimes,2026-04-09T03:33:33+00:00
TSMC,geopolitical,Low,TSMC’s Sales Beat Estimates After War Fails to Dent AI Demand - Bloomberg.com,2026-04-10T21:58:52+00:00
TSMC,geopolitical_concentration,High,Why Taiwan’s Semiconductor Success Is About Much More Than TSMC - Global Taiwan Institute,2026-06-18T17:58:36+00:00
Foxconn,geopolitical_tension,Medium,"Schneider Electric, Foxconn partner on AI data center infrastructure - Reuters",2026-06-28T21:59:53+00:00
TSMC,geopolitical_diversification,Medium,TSMC and Amkor Technology Announce Long Term Partnership to Accelerate Advanced Packaging in the United States - Business Wire,2026-06-28T21:59:46+00:00
